Hancock County,"$89,900",1 ac,"Hancock, ME 04634"
Hancock County,"$995,000",2.32 ac,"Ellsworth, ME 04605"
Penobscot County,"$85,000",0.93 ac,"Bangor, ME 04401"
Penobscot County,"$888,000",11 ac,"Hermon, ME 04401"
Knox County,"$599,000",21.6 ac,"Warren, ME 04864"
Lincoln County,"$225,000",3.72 ac,"Waldoboro, ME 04572"
Piscataquis County,"$225,000",84.5 ac,"Monson, ME 04464"
Lincoln County,"$100,000",6.5 ac,"Newcastle, ME 04553"
Kennebec County,"$749,000",8.2 ac,"Benton, ME 04901"
Lincoln County,"$75,000",4.48 ac,"Newcastle, ME 04553"
Piscataquis County,"$225,000",84.5 ac,"Monson, ME 04464"
Kennebec County,"$275,000",29 ac,"Hallowell, ME 04347"
Kennebec County,"$275,000",29 ac,"Hallowell, ME 04347"
Sagadahoc County,"$40,000",0.22 ac,"Bath, ME 04530"
Kennebec County,"$169,900",34 ac,"Litchfield Town, ME 04350"
Barnstable County,"$2,330,000",2.8 ac,"West Yarmouth, MA 02673"
Barnstable County,"$535,000",3.71 ac,"South Yarmouth, MA 02664"
Barnstable County,"$499,000",1 ac,"Yarmouth Port, MA 02675"
Barnstable County,"$299,000",2.53 ac,"Yarmouth Port, MA 02675"
Barnstable County,"$299,000",2.53 ac,"Yarmouth Port, MA 02675"
Barnstable County,"$299,000",2.53 ac,"Yarmouth Port, MA 02675"
Androscoggin County,"$199,000",0.79 ac,"Auburn, ME 04210"
Franklin County,"$11,000,000",31.4 ac,"Wilton, ME 04294"
Androscoggin County,"$50,000",1.14 ac,"Auburn, ME 04210"
Androscoggin County,"$250,000",55 ac,"Auburn, ME 04210"
Androscoggin County,"$50,000",1.14 ac,"Auburn, ME 04210"
Androscoggin County,"$94,900",85 ac,"Livermore, ME 04253"
Barnstable County,"$799,000",2 ac,"Mashpee, MA 02649"
Cumberland County,"$896,000",2.25 ac,"Westbrook, ME 04092"
Barnstable County,"$997,600",3.27 ac,"Mashpee, MA 02649"
Barnstable County,"$699,000",1.71 ac,"Mashpee, MA 02649"
Barnstable County,"$529,000",1 ac,"Mashpee, MA 02649"
Barnstable County,"$499,900",1 ac,"Mashpee, MA 02649"
Barnstable County,"$1,200,000",1.68 ac,"North Falmouth, MA 02556"
York County,"$189,000",1 ac,"Biddeford, ME 04005"
York County,"$175,000",9.6 ac,"Waterboro, ME 04087"
York County,"$325,000",9.6 ac,"Waterboro, ME 04087"
York County,"$350,000",14 ac,"Sanford, ME 04073"
York County,"$525,000",5.5 ac,"Sanford, ME 04073"
Strafford County,"$369,000",15 ac,"Somersworth, NH 03878"
Plymouth County,"$369,000",12 ac,"East Bridgewater, MA 02337"
Rockingham County,"$1,500,000",8 ac,"Exeter, NH 03833"
Norfolk County,"$5,000,000",1.9 ac,"Quincy, MA 02169"
Rockingham County,"$599,999",38 ac,"Kingston, NH 03848"
Rockingham County,"$599,999",38 ac,"Kingston, NH 03848"
Rockingham County,"$549,000",28 ac,"East Kingston, NH 03827"
Rockingham County,"$3,325,000",95 ac,"Brentwood, NH 03833"
Strafford County,"$575,000",16.7 ac,"Milton, NH 03851"
Essex County,"$1,250,000",1.12 ac,"Middleton, MA 01949"
Rockingham County,"$450,000",25.5 ac,"Kingston, NH 03848"
Rockingham County,"$349,900",14.5 ac,"Kingston, NH 03848"
Rockingham County,"$50,000",13 ac,"Epping, NH 03042"
Newport County,"$225,000",5 ac,"Tiverton, RI 02878"
Strafford County,"$300,000",59 ac,"Middleton Town, NH 03887"
Carroll County,"$289,900",2 ac,"Ossipee, NH 03814"
Rockingham County,"$525,000",67 ac,"Raymond, NH 03077"
Providence County,"$350,000",0.31 ac,"Providence, RI 02904"
Providence County,"$1,795,000",5.36 ac,"Woonsocket, RI 02895"
Belknap County,"$99,900",4.35 ac,"Belmont, NH 03220"
Belknap County,"$170,000",3.47 ac,"Belmont, NH 03220"
Merrimack County,"$399,900",6.72 ac,"Bow Town, NH 03304"
Belknap County,"$1,900,000",3.47 ac,"Laconia, NH 03246"
Providence County,"$2,500,000",21.3 ac,"North Smithfield, RI 02896"
Worcester County,"$15,000,000",4.62 ac,"Bolton, MA 01740"
Coos County,"$350,000",14 ac,"Lancaster, NH 03584"
Hillsborough County,"$1,195,000",11 ac,"Peterborough, NH 03458"
Worcester County,"$899,000",4.38 ac,"Gardner, MA 01440"
Merrimack County,"$165,000",5.84 ac,"Sutton Town, NH 03260"
New London County,"$299,900",3 ac,"Montville Town, CT 06382"
New London County,"$299,900",3.38 ac,"Montville Town, CT 06382"
New London County,"$59,900",2.25 ac,"Montville Town, CT 06353"
Cheshire County,"$499,900",3.6 ac,"Fitzwilliam, NH 03447"
Cheshire County,"$245,000",3.1 ac,"Fitzwilliam, NH 03447"
Cheshire County,"$250,000",84 ac,"Fitzwilliam, NH 03447"
Cheshire County,"$49,900",0.64 ac,"Fitzwilliam, NH 03447"
Cheshire County,"$150,000",3.89 ac,"Troy, NH 03465"
Cheshire County,"$1,790,000",5.34 ac,"Marlborough, NH 03455"
Caledonia County,"$155,000",4 ac,"Lyndon, VT 05851"
Orleans County,"$429,000",5.3 ac,"Orleans, VT 05860"
Orleans County,"$118,500",1.26 ac,"Derby Town, VT 05829"
Sullivan County,"$700,000",5.5 ac,"Claremont, NH 03743"
Tolland County,"$69,900",0.54 ac,"Ellington, CT 06029"
Cheshire County,"$105,800",5 ac,"Winchester, NH 03470"
Cheshire County,"$107,100",6.28 ac,"Winchester, NH 03470"
Cheshire County,"$544,000",34 ac,"Winchester, NH 03470"
Cheshire County,"$105,800",5 ac,"Winchester, NH 03470"
Cheshire County,"$108,900",7 ac,"Winchester, NH 03470"
Hartford County,"$300,000",3 ac,"Manchester, CT 06042"
Hartford County,"$1,695,000",62 ac,"Enfield, CT 06082"
Hartford County,"$549,000",23 ac,"Enfield, CT 06082"
Cheshire County,"$129,900",0.93 ac,"Walpole, NH 03608"
Hartford County,"$650,000",7.44 ac,"East Windsor Town, CT 06088"
Windham County,"$295,000",2.5 ac,"Rockingham, VT 05101"
Cheshire County,"$189,900",1.51 ac,"Hinsdale, NH 03457"
Hartford County,"$425,000",30 ac,"Enfield, CT 06082"
Hampshire County,"$750,000",11 ac,"Amherst, MA 01002"
Hampshire County,"$1,200,000",9.3 ac,"Amherst, MA 01002"
Hartford County,"$249,900",21 ac,"Enfield, CT 06082"
Hartford County,"$1,500,000",20 ac,"East Windsor Town, CT 06088"
Windsor County,"$950,000",13.4 ac,"Chester, VT 05143"
Hartford County,"$35,000",0.23 ac,"Hartford, CT 06106"
Hampshire County,"$3,200,000",28 ac,"Hatfield, MA 01038"
Washington County,"$199,900",26 ac,"Middlesex, VT 05602"
Windsor County,"$425,000",2.49 ac,"Chester, VT 05143"
New Haven County,"$2,350,000",6.54 ac,"Wallingford, CT 06492"
New Haven County,"$79,900",1 ac,"Meriden, CT 06450"
New Haven County,"$730,000",3 ac,"Branford, CT 06405"
Suffolk County,"$3,500/mo",0.3 ac,"Center Moriches, NY 11934"
New Haven County,"$899,900",6.13 ac,"Meriden, CT 06450"
Hartford County,"$179,250",10 ac,"New Britain, CT 06052"
Hartford County,"$149,900",0.33 ac,"Southington, CT 06479"
Lamoille County,"$72,000",1.9 ac,"Hyde Park, VT 05655"
Lamoille County,"$72,000",1.9 ac,"Hyde Park, VT 05655"
Hartford County,"$85,000",0.6 ac,"Bristol, CT 06010"
Suffolk County,"$1,050,000",0.41 ac,"Patchogue, NY 11772"
New Haven County,"$55,000",0.22 ac,"Naugatuck, CT 06770"
New Haven County,"$2,000,000",2 ac,"Orange, CT 06477"
New Haven County,"$500,000",6.5 ac,"Naugatuck, CT 06770"
Litchfield County,"$2,950,000",3.41 ac,"Torrington, CT 06790"
New Haven County,"$210,000",50 ac,"Beacon Falls, CT 06403"
New Haven County,"$599,000",1.84 ac,"Milford, CT 06460"
Rutland County,"$675,000",10.5 ac,"Clarendon, VT 05759"
Rutland County,"$2,300,000",184 ac,"Rutland Town, VT 05701"
Fairfield County,"$999,000",2.6 ac,"Stratford, CT 06615"
New Haven County,"$1,599,000",21 ac,"Oxford, CT 06478"
Bennington County,"$199,000",7.47 ac,"Bennington, VT 05201"
Fairfield County,"$795,000",10 ac,"Newtown, CT 06470"
Fairfield County,"$2,600,000",6.4 ac,"Newtown, CT 06470"
Berkshire County,"$1,200,000",1.6 ac,"Pittsfield, MA 01201"
Berkshire County,"$2,400,000",15 ac,"Pittsfield, MA 01201"
Fairfield County,"$1,395,000",2 ac,"Newtown, CT 06470"
Suffolk County,"$699,990",0.29 ac,"Amityville, NY 11701"
Chittenden County,"$650,000",10 ac,"Milton, VT 05468"
Chittenden County,"$1,050,000",22.4 ac,"Milton, VT 05468"
Chittenden County,"$950,000",28 ac,"Milton, VT 05468"
Chittenden County,"$950,000",21 ac,"Milton, VT 05468"
Chittenden County,"$950,000",19.6 ac,"Milton, VT 05468"
Rensselaer County,"$395,000",25.4 ac,"Hoosick, NY 12019"
Washington County,"$499,000",133 ac,"Whitehall, NY 12887"
Washington County,"$395,000",3.6 ac,"Cambridge, NY 12816"
Essex County,"$350,000",3.18 ac,"Ticonderoga, NY 12883"
Washington County,"$990,000",12 ac,"Whitehall, NY 12887"
Columbia County,"$1,500,000",200 ac,"Chatham, NY 12037"
Putnam County,"$675,000",9.7 ac,"Brewster, NY 10509"
Putnam County,"$300,000",2 ac,"Brewster, NY 10509"
Nassau County,"$3,300,000",1.81 ac,"Port Washington, NY 11050"
Washington County,"$1,498,000",3.21 ac,"Kingsbury, NY 12804"
Warren County,"$1,750,000",10.5 ac,"Queensbury, NY 12804"
Clinton County,"$399,000",18.5 ac,"Champlain, NY 12919"
Saratoga County,"$89,000",0.51 ac,"Mechanicville, NY 12118"
Columbia County,"$249,000",1.5 ac,"Ghent, NY 12075"
Clinton County,"$199,900",5.3 ac,"Peru, NY 12972"
Columbia County,"$1,350,000",30 ac,"Hudson, NY 12534"
Warren County,"$2,350,000",6.21 ac,"Glens Falls, NY 12801"
Warren County,"$99,000",3 ac,"Bolton, NY 12814"
Warren County,"$99,000",3 ac,"Bolton, NY 12814"
Warren County,"$99,000",3.2 ac,"Bolton, NY 12814"
Dutchess County,"$535,000",5.2 ac,"Poughkeepsie, NY 12603"
Westchester County,"$9,800,000",0.38 ac,"Mount Vernon, NY 10550"
Saratoga County,"$1,200,000",5.75 ac,"Mechanicville, NY 12118"
Saratoga County,"$435,900",8 ac,"Clifton Park, NY 12065"
Dutchess County,"$2,495,000",2.3 ac,"Pleasant Valley, NY 12569"
Albany County,"$1,050,000",6 ac,"Bethlehem Town, NY 12077"
Greene County,"$350,000",8.5 ac,"Athens, NY 12015"
Dutchess County,"$12,000,000",169 ac,"Rhinebeck, NY 12572"
Ulster County,"$14,000,000",8 ac,"Saugerties, NY 12477"
Ulster County,"$13,000,000",119 ac,"Saugerties, NY 12477"
Monmouth County,"$999,000",1.17 ac,"West Long Branch, NJ 07764"
Monmouth County,"$59,000",0.51 ac,"Ocean Township, NJ 07712"
Schenectady County,"$950,000",2 ac,"Schenectady, NY 12308"
Saratoga County,"$659,000",45 ac,"Clifton Park, NY 12065"
Ulster County,"$850,000",3.45 ac,"Saugerties, NY 12477"
Dutchess County,"$1,490,000",5 ac,"Red Hook, NY 12571"
Ulster County,"$795,000",3.9 ac,"Saugerties, NY 12477"
Ulster County,"$1,250,000",3.9 ac,"Highland, NY 12528"
Ulster County,"$1,250,000",3.9 ac,"Highland, NY 12528"
Richmond County,"$1,499,000",0.27 ac,"Staten Island, NY 10305"
Hudson County,"$2,400,000",0.84 ac,"Jersey City, NJ 07305"
Albany County,"$449,000",3.1 ac,"Westerlo, NY 12193"
Greene County,"$394,900",12 ac,"Greenville, NY 12083"
Ulster County,"$1,950,000",4.6 ac,"Woodstock Town, NY 12491"
Richmond County,"$4,000,000",1 ac,"Staten Island, NY 10309"
Monmouth County,"$275,000",0.46 ac,"Howell, NJ 07731"
Richmond County,"$2,327,550",2 ac,"Staten Island, NY 10309"
Richmond County,"$6,776,000",2.83 ac,"Staten Island, NY 10309"
Burlington County,"$1,940,000",1.6 ac,"Tuckerton, NJ 08087"
Ocean County,"$1,450,000",4.5 ac,"Jackson Township, NJ 08527"
Ocean County,"$5,750,000",17.4 ac,"Jackson Township, NJ 08527"
Ulster County,"$1,500,000",12.3 ac,"Accord, NY 12404"
Ocean County,"$2,200,000",2.16 ac,"Tuckerton, NJ 08087"
Atlantic County,"$149,900",0.22 ac,"Galloway, NJ 08205"
Orange County,"$599,999",11.3 ac,"Montgomery, NY 12549"
Orange County,"$249,000",1.6 ac,"Middletown, NY 10941"
Ulster County,"$589,000",2.6 ac,"Accord, NY 12404"
Atlantic County,"$2,500/mo",0.54 ac,"Atlantic City, NJ 08401"
Greene County,"$3,950,000",22 ac,"Windham, NY 12496"
Atlantic County,"$495,000",4.35 ac,"Galloway, NJ 08205"
Atlantic County,"$399,000",0.5 ac,"Absecon, NJ 08201"
Atlantic County,"$2,230,000",7.69 ac,"Galloway, NJ 08205"
Middlesex County,"$325,000",0.58 ac,"Dunellen, NJ 08812"
Ulster County,"$2,495,000",31.6 ac,"Napanoch, NY 12458"
Middlesex County,"$325,000",0.57 ac,"Dunellen, NJ 08812"
Atlantic County,"$975,000",14 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$550,000",3.27 ac,"Galloway, NJ 08215"
Ulster County,"$439,500",3.2 ac,"Cragsmoor, NY 12420"
Atlantic County,"$465,000",6.61 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$1,200,000",22 ac,"Galloway, NJ 08205"
Atlantic County,"$249,000",3.84 ac,"Egg Harbor Township, NJ 08234"
Orange County,"$2,800,000",25 ac,"Slate Hill, NY 10973"
Atlantic County,"$554,750",6 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$281,750",3.65 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$2,995,000",9 ac,"Somers Point, NJ 08244"
Atlantic County,"$3,625,000",13.5 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$695,000",4.33 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$4,000,000",4.16 ac,"Egg Harbor Township, NJ 08234"
Ocean County,"$2,395,000",8.25 ac,"New Egypt, NJ 08533"
Atlantic County,"$325,000",1.49 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$99,900",2.29 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$2,100,000",38 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$850,000",6.19 ac,"Egg Harbor Township, NJ 08234"
Atlantic County,"$389,900",2 ac,"Egg Harbor Township, NJ 08234"
Ocean County,"$180,000",1.5 ac,"Cream Ridge, NJ 08514"
Sullivan County,"$975,000",126 ac,"Wurtsboro, NY 12790"
Sullivan County,"$600,000",82 ac,"Fallsburg, NY 12733"
Atlantic County,"$350,000",4.37 ac,"Galloway, NJ 08330"
Burlington County,"$99,000",2.69 ac,"Wrightstown, NJ 08562"
Cape May County,"$249,900",1.9 ac,"Upper Township, NJ 08230"
Sullivan County,"$450,000",41 ac,"Wurtsboro, NY 12790"
Cape May County,"$3,800,000",14.5 ac,"Marmora, NJ 08223"
Sullivan County,"$1,500,000",13.5 ac,"Wurtsboro, NY 12790"
Atlantic County,"$1,522,000",46.6 ac,"Egg Harbor Township, NJ 08234"
Morris County,"$135,000",2.7 ac,"Roxbury Township, NJ 07852"
Delaware County,"$699,900",23.4 ac,"Margaretville, NY 12455"
Atlantic County,"$560,000",5.33 ac,"Mays Landing, NJ 08330"
Burlington County,"$1,700,000",2.7 ac,"Bordentown, NJ 08620"
Atlantic County,"$1,995,000",18 ac,"Estell Manor, NJ 08270"
Franklin County,"$99,000",6.12 ac,"Bangor, NY 12966"
Sussex County,"$165,000",10.5 ac,"Sparta Township, NJ 07848"
Sussex County,"$195,000",7 ac,"Sparta Township, NJ 07848"
Burlington County,"$649,900",2.11 ac,"Shamong Township, NJ 08088"
Burlington County,"$999,999",1.11 ac,"Hainesport, NJ 08036"
Cape May County,"$234,900",4 ac,"Woodbine, NJ 08270"
Atlantic County,"$1,995,000",3 ac,"Hammonton, NJ 08037"
Cape May County,"$735,000",1 ac,"Cape May Court House, NJ 08210"
Camden County,"$79,900",4 ac,"Hammonton, NJ 08037"
Camden County,"$1,400,000",14 ac,"Berlin, NJ 08009"
Burlington County,"$269,000",1.84 ac,"Mount Laurel, NJ 08054"
Gloucester County,"$675,000",1.4 ac,"Williamstown, NJ 08094"
Hunterdon County,"$1,350,000",3 ac,"Hampton, NJ 08827"
Cumberland County,"$2,600,000",10 ac,"Vineland, NJ 08360"
Warren County,"$100,000",10 ac,"Mansfield Township, NJ 07840"
Pike County,"$349,000",2 ac,"Dingmans Ferry, PA 18328"
Bucks County,"$1,595,000",3.86 ac,"New Hope, PA 18938"
Hunterdon County,"$1,350,000",3.75 ac,"Hampton, NJ 08827"
Cumberland County,"$45,000",0.72 ac,"Millville, NJ 08332"
Pike County,"$2,600,000",3.73 ac,"Shohola, PA 18458"
Cumberland County,"$3,500,000",3 ac,"Vineland, NJ 08360"
Cumberland County,"$3,750,000",9.38 ac,"Vineland, NJ 08360"
Cumberland County,"$69,900",0.65 ac,"Millville, NJ 08332"
Herkimer County,"$250,000",4 ac,"Little Falls Town, NY 13365"
Cumberland County,"$799,000",4.79 ac,"Vineland, NJ 08360"
Herkimer County,"$235,900",51 ac,"Herkimer, NY 13350"
Cumberland County,$--/mo,4.79 ac,"Vineland, NJ 08360"
Hamilton County,"$399,000",5 ac,"Inlet, NY 13360"
Gloucester County,"$200,000",0.8 ac,"Sewell, NJ 08080"
Monroe County,"$2,200,000",12 ac,"East Stroudsburg, PA 18302"
St. Lawrence County,"$949,000",18 ac,"Brasher Falls, NY 13613"
St. Lawrence County,"$109,000",2 ac,"Brasher Falls, NY 13613"
St. Lawrence County,"$600,000",232 ac,"Brasher Falls, NY 13613"
Monroe County,"$795,000",34.6 ac,"East Stroudsburg, PA 12864"
Gloucester County,"$895,000",12 ac,"Sewell, NJ 08080"
Gloucester County,"$895,000",12 ac,"Sewell, NJ 08080"
St. Lawrence County,"$129,900",5.2 ac,"Massena, NY 13662"
Otsego County,"$150,000",3.51 ac,"Oneonta, NY 13820"
Monroe County,"$8,000/mo",3 ac,"East Stroudsburg, PA 18302"
Monroe County,"$995,000",3 ac,"East Stroudsburg, PA 18302"
Monroe County,"$699,000",5 ac,"East Stroudsburg, PA 18301"
Monroe County,"$475,000",44.4 ac,"East Stroudsburg, PA 18302"
Philadelphia County,"$650,000",0.53 ac,"Philadelphia, PA 19141"
Monroe County,"$89,900",0.58 ac,"East Stroudsburg, PA 18301"
Bucks County,"$4,500,000",59.6 ac,"Pipersville, PA 18947"
Monroe County,"$75,000",0.46 ac,"East Stroudsburg, PA 18301"
Monroe County,"$1,950,000",4.62 ac,"East Stroudsburg, PA 18301"
St. Lawrence County,"$200,000",8.12 ac,"Potsdam, NY 13676"
Herkimer County,"$49,900",24 ac,"Norway, NY 13324"
Monroe County,"$645,000",13.4 ac,"East Stroudsburg, PA 18301"
Monroe County,"$880,000",4.59 ac,"East Stroudsburg, PA 18301"
Monroe County,"$1,500,000",11.5 ac,"East Stroudsburg, PA 18301"
Monroe County,"$39,900",9.47 ac,"East Stroudsburg, PA 18301"
